# Server version 0.08 running on 192.168.1.160:8123
# Game ID: 8
# Board class: halma.CCBoard
# Timeout: 300000
# Date: Sat Mar 15 15:56:04 EDT 2014
# Player 1: Player-0, 'random', running on localhost
# Player 2: Player-1, 'random', running on 192.168.1.160
# Player 3: Player-2, 'random', running on 192.168.1.160
# Player 4: Player-3, 'Human', running on 192.168.1.160
START Player-0 random
START Player-1 random
START Player-2 random
START Player-3 Human
0 (3,1) (4,0)
1 (14,3) (13,4)
2 (1,12) (2,12)
3 (13,14) (12,13)
0 (2,2) (0,4)
0 (0,4) (2,2)
0 (2,2) (0,4)
0 null null
1 (13,4) (14,3)
2 (3,14) (4,15)
3 (13,13) (11,13)
3 null null
0 (1,1) (3,1)
0 null null
1 (13,0) (11,2)
1 (11,2) (13,0)
1 (13,0) (11,0)
1 (11,0) (13,0)
1 (13,0) (11,2)
1 (11,2) (13,0)
1 null null
2 (4,15) (3,14)
3 (12,13) (10,13)
3 null null
0 (2,1) (2,2)
1 (15,3) (15,4)
2 (1,14) (3,12)
2 (3,12) (1,12)
2 null null
3 (11,13) (11,12)
0 (3,0) (3,2)
0 (3,2) (3,0)
0 (3,0) (3,2)
0 (3,2) (3,0)
0 (3,0) (3,2)
0 (3,2) (3,0)
0 null null
1 (14,3) (15,3)
2 (0,13) (0,11)
2 null null
3 (11,12) (11,11)
0 (3,1) (3,2)
1 (12,0) (11,1)
2 (0,11) (1,10)
3 (11,11) (11,10)
0 (0,3) (2,3)
0 (2,3) (0,3)
0 null null
1 (14,1) (14,3)
1 (14,3) (14,1)
1 (14,1) (14,3)
1 null null
2 (2,13) (1,14)
3 (11,10) (11,9)
0 (2,0) (1,1)
1 (14,2) (12,2)
1 null null
2 (1,10) (2,10)
3 (11,9) (10,9)
0 (2,2) (2,1)
1 (12,1) (10,1)
1 (10,1) (12,1)
1 (12,1) (10,1)
1 (10,1) (12,1)
1 (12,1) (14,1)
1 null null
2 (2,12) (3,11)
3 (10,9) (9,9)
0 (1,2) (2,3)
1 (15,2) (14,2)
2 (2,10) (1,9)
