# Server version 0.08 running on 192.168.1.160:8123
# Game ID: 12
# Board class: halma.CCBoard
# Timeout: 300000
# Date: Sat Mar 15 16:43:45 EDT 2014
# Player 1: Player-0, 'random', running on localhost
# Player 2: Player-1, 'random', running on 192.168.1.160
# Player 3: Player-2, 'random', running on 192.168.1.160
# Player 4: Player-3, 'random', running on 192.168.1.160
START Player-0 random
START Player-1 random
START Player-2 random
START Player-3 random
0 (2,2) (3,3)
1 (12,1) (11,2)
2 (3,15) (3,13)
2 null null
3 (13,13) (15,11)
3 null null
0 (3,3) (4,4)
1 (13,2) (13,3)
2 (2,15) (3,15)
3 (12,15) (12,13)
3 null null
0 (4,4) (5,5)
1 (13,0) (11,0)
1 (11,0) (13,0)
1 (13,0) (13,2)
1 (13,2) (13,4)
1 null null
2 (0,12) (0,11)
3 (12,14) (13,13)
0 (5,5) (6,6)
1 (13,3) (14,4)
2 (3,14) (4,13)
3 (12,13) (12,14)
0 (6,6) (7,7)
1 (14,4) (12,4)
1 (12,4) (14,4)
1 (14,4) (12,4)
1 null null
2 (2,13) (2,12)
3 (12,14) (12,13)
0 (7,7) (8,8)
1 (13,1) (13,0)
2 (1,12) (2,13)
3 (12,13) (12,14)
0 (8,8) (9,9)
1 (14,3) (15,4)
2 (1,13) (1,12)
3 (13,14) (12,15)
0 (9,9) (10,10)
1 (13,4) (13,5)
2 (2,14) (2,15)
3 (12,15) (12,13)
3 null null
0 (10,10) (11,11)
1 (15,3) (15,5)
1 null null
2 (2,13) (2,11)
2 null null
3 (15,12) (13,12)
3 (13,12) (11,14)
3 (11,14) (13,14)
3 (13,14) (13,12)
3 (13,12) (11,14)
3 (11,14) (13,14)
3 null null
0 (11,11) (12,12)
1 (14,2) (13,2)
2 (2,15) (2,14)
3 (13,13) (11,13)
3 (11,13) (13,11)
3 null null
0 (12,12) (13,13)
1 (15,5) (15,6)
2 (4,13) (2,13)
2 (2,13) (4,13)
2 (4,13) (2,13)
2 null null
3 (15,11) (15,10)
0 (2,0) (4,2)
