# Server version 0.08 running on 192.168.0.101:8123
# Game ID: 40
# Board class: halma.CCBoard
# Timeout: 300000
# Date: Sat Mar 15 19:46:39 EDT 2014
# Player 1: Player-0, 'random', running on 192.168.0.101
# Player 2: Player-1, 'random', running on 192.168.0.101
# Player 3: Player-2, 'random', running on 192.168.0.101
# Player 4: Player-3, 'Human', running on 192.168.0.101
START Player-0 random
START Player-1 random
START Player-2 random
START Player-3 Human
0 (0,1) (2,3)
0 null null
1 (15,1) (13,3)
1 null null
2 (0,14) (2,12)
2 null null
3 (13,15) (11,13)
3 null null
0 (1,2) (3,4)
0 null null
1 (14,0) (12,2)
1 null null
2 (1,13) (3,11)
2 null null
3 (14,15) (12,13)
3 null null
0 (2,0) (4,2)
0 null null
1 (14,1) (12,3)
1 null null
2 (2,12) (4,10)
2 null null
3 (12,13) (10,13)
3 null null
0 (1,0) (3,2)
0 (3,2) (5,2)
0 null null
1 (13,2) (11,4)
1 null null
2 (2,15) (4,13)
2 null null
3 (10,13) (10,12)
0 (1,1) (3,3)
0 (3,3) (3,5)
0 null null
1 (13,0) (11,2)
1 null null
2 (1,15) (3,13)
2 (3,13) (5,13)
2 null null
3 (13,14) (11,14)
3 (11,14) (11,12)
3 (11,12) (9,12)
3 null null
0 (0,2) (2,4)
0 (2,4) (4,6)
0 null null
1 (12,3) (10,5)
1 null null
2 (0,13) (2,11)
2 (2,11) (4,11)
2 (4,11) (4,9)
2 null null
3 (12,15) (12,13)
3 (12,13) (10,13)
3 (10,13) (10,11)
3 null null
0 (3,1) (5,3)
0 null null
1 (11,4) (9,6)
1 null null
2 (3,14) (5,12)
2 null null
3 (9,12) (9,11)
0 (4,2) (6,4)
0 null null
1 (10,5) (8,7)
1 null null
2 (4,13) (6,11)
2 null null
3 (10,11) (8,11)
3 null null
0 (5,3) (7,5)
0 null null
1 (9,6) (7,8)
1 null null
2 (5,12) (7,10)
2 null null
3 (8,11) (8,10)
0 (6,4) (8,6)
0 (8,6) (8,8)
0 null null
1 (8,7) (6,9)
1 null null
2 (6,11) (8,9)
2 (8,9) (8,7)
2 null null
3 (14,13) (12,13)
3 (12,13) (10,13)
3 (10,13) (10,11)
3 (10,11) (8,11)
3 (8,11) (8,9)
3 null null
0 (3,5) (5,7)
0 null null
1 (15,2) (13,4)
1 null null
2 (7,10) (9,8)
2 null null
3 (8,9) (7,9)
0 (4,6) (6,8)
0 (6,8) (6,10)
0 null null
1 (14,3) (12,5)
1 null null
2 (3,11) (5,9)
2 null null
3 (15,14) (13,14)
3 null null
0 (2,3) (4,5)
0 null null
1 (13,4) (11,6)
1 null null
2 (4,10) (6,8)
2 null null
3 (13,14) (11,14)
3 (11,14) (11,12)
3 (11,12) (9,12)
3 (9,12) (9,10)
3 (9,10) (7,10)
3 null null
0 (3,4) (5,6)
0 (5,6) (5,8)
0 (5,8) (5,10)
0 null null
1 (6,9) (4,11)
1 null null
2 (1,14) (3,12)
2 null null
3 (14,14) (12,12)
3 null null
0 (0,0) (1,1)
1 (13,1) (11,3)
1 null null
2 (5,9) (7,7)
2 (7,7) (9,7)
2 null null
3 (15,12) (13,12)
3 (13,12) (11,12)
3 (11,12) (9,12)
3 (9,12) (9,10)
3 null null
0 (1,1) (3,3)
0 null null
1 (12,2) (10,4)
1 null null
2 (0,15) (1,14)
